"Player, POS",Team/Opp,▴,Proj / $1K,,Proj / $1K,,Proj / $1,Min/Game,DvP Rank,O/U,Spread,Line,Rating
"Tyson Chandler, C",HOU @ SA,"$3,500",0,"$3,000",0,$10,0,8.43,17,,2,-131,Upgrade
"Bruno Caboclo, SF",HOU @ SA,"$3,500",0.3,"$3,000",0.3,$10,0.1,7.91,26,,2,-131,Upgrade
"Vic Law, PF",ORL v. BKN,"$3,500",0,"$3,000",0,$10,0,2.71,6,,-6,-249,Upgrade
"B.J. Johnson, PF",ORL v. BKN,"$3,500",0,"$3,000",0,$10,0,5.78,6,,-6,-249,Upgrade
"Melvin Frazier, SF",ORL v. BKN,"$3,500",0,"$3,000",0,$10,0,4.39,17,,-6,-249,Upgrade
"Mohamed Bamba, C",ORL v. BKN,"$3,500",3.1,"$3,000",3.4,$10,1.1,14.17,29,,-6,-249,Upgrade
"Wesley Iwundu, SF",ORL v. BKN,"$3,500",2.2,"$3,200",2.4,$10,0.8,17.92,17,,-6,-249,Upgrade
"Jonathan Isaac, PF",ORL v. BKN,"$3,500",0,"$5,300",0,$10,0,28.82,6,,-6,-249,Upgrade
"Khem Birch, C",ORL v. BKN,"$3,500",1.9,"$3,300",1.9,$10,0.7,19.05,29,,-6,-249,Upgrade
"Al-Farouq Aminu, PF",ORL v. BKN,"$3,500",0,"$3,000",0,$10,0,21.11,6,,-6,-249,Upgrade
"Donta Hall, PF",BKN @ ORL,"$3,500",1.8,"$3,200",1.9,$10,0.6,12.83,19,,-6,206,Upgrade
"Dzanan Musa, SG",BKN @ ORL,"$3,500",1.1,"$3,000",1.3,$10,0.4,11.59,22,,-6,206,Upgrade
"Justin Anderson, SG",BKN @ ORL,"$3,500",2.1,"$3,000",2.5,$10,0.7,8.8,22,,-6,206,Upgrade
"Lance Thomas, SF",BKN @ ORL,"$3,500",2.3,"$3,100",2.7,$10,0.8,13.91,12,,-6,206,Upgrade
"Trevor Ariza, SF",POR @ DAL,$2,0,"$3,000",0,$10,0,28.16,23,,2,-136,Upgrade
"Davis Bertans, SF",WAS v. MIL,$1,0,"$3,000",0,$10,0,29.32,10,229.5,8,283,Upgrade
"Willie Cauley-Stein, C",DAL v. POR,$1,0,"$3,000",0,$10,0,20.32,20,,2,112,Upgrade
"Bradley Beal, SG",WAS v. MIL,$0,0,"$3,000",0,$10,0,36.02,19,229.5,8,283,Upgrade
"Josh Gray, PG",NO @ SAC,$0,0,"$3,000",0,$10,0,11.36,19,,1,-115,Upgrade
"LaMarcus Aldridge, PF",SA v. HOU,$0,0,"$3,000",0,$10,0,33.1,25,,2,110,Upgrade
"William Howard, PF",HOU @ SA,$0,0,"$3,000",0,$10,0,6.63,21,,2,-131,Upgrade
"Thabo Sefolosha, SF",HOU @ SA,$0,0,"$3,000",0,$10,0,10.63,26,,2,-131,Upgrade
"Nicolas Claxton, PF",BKN @ ORL,$0,0,"$3,000",0,$10,0,12.46,19,,-6,206,Upgrade
"Taurean Prince, SF",BKN @ ORL,$0,0,"$3,000",0,$10,0,29.02,12,,-6,206,Upgrade
"Wilson Chandler, SF",BKN @ ORL,$0,0,"$3,000",0,$10,0,20.98,12,,-6,206,Upgrade
"Spencer Dinwiddie, PG",BKN @ ORL,$0,0,"$3,000",0,$10,0,31.16,5,,-6,206,Upgrade
"DeAndre Jordan, C",BKN @ ORL,$0,0,"$3,000",0,$10,0,22.04,4,,-6,206,Upgrade
"Kyrie Irving, PG",BKN @ ORL,$0,0,"$3,000",0,$10,0,32.9,5,,-6,206,Upgrade
