"Player, POS",Team/Opp,▴,Proj / $1K,,Proj / $1K,,Proj / $1,Min/Game,DvP Rank,O/U,Spread,Line,Rating
"Marcus Smart, PG",BOS @ MEM,"$5,400",5.2,"$5,600",5,$19,1.5,32.04,23,225,4,-168,Upgrade
"Carmelo Anthony, PF",POR @ DAL,"$5,400",5,"$5,600",5,$20,1.4,32.69,11,,2,-136,Upgrade
"Evan Fournier, SF",ORL v. BKN,"$5,300",5.2,"$5,600",5.1,$19,1.4,31.45,17,,-6,-249,Upgrade
"Maximilian Kleber, PF",DAL v. POR,"$5,200",5.7,"$4,500",6.6,$11,2.7,25.73,29,,2,112,Upgrade
"Josh Richardson, SF",PHI v. PHO,"$5,200",4.9,"$5,400",4.8,$18,1.4,31.05,16,,8,270,Upgrade
"Terrence Ross, SG",ORL v. BKN,"$5,200",4.6,"$5,400",4.6,$10,2.4,27.38,5,,-6,-249,Upgrade
"Richaun Holmes, PF",SAC v. NO,"$5,100",4.9,"$4,500",5.4,$19,1.3,28.22,23,,1,-105,Upgrade
"Jakob Poeltl, C",SA v. HOU,"$5,100",4.8,"$5,500",4.2,$17,1.4,17.54,14,,2,110,Upgrade
"Joe Harris, SF",BKN @ ORL,"$5,100",5.7,"$5,200",5.9,$15,1.9,30.71,12,,-6,206,Upgrade
"Markelle Fultz, PG",ORL v. BKN,"$5,000",5.2,"$4,600",5.6,$17,1.5,27.84,20,,-6,-249,Upgrade
"Nemanja Bjelica, PF",SAC v. NO,"$4,800",4.9,"$4,900",5,$13,1.8,27.8,23,,1,-105,Upgrade
"J.J. Redick, SF",NO @ SAC,"$4,800",4.3,"$4,300",5.1,$17,1.2,26.35,18,,1,-115,Upgrade
"Mikal Bridges, SF",PHO @ PHI,"$4,800",4.7,"$4,800",4.6,$18,1.3,27.9,8,,8,-335,Upgrade
"Donte Divincenzo, SG",MIL @ WAS,"$4,700",4.5,"$3,900",5.4,$13,1.6,23.1,23,229.5,8,-359,Upgrade
"Buddy Hield, SG",SAC v. NO,"$4,700",5.7,"$4,800",5.9,$19,1.4,31.02,18,,1,-105,Upgrade
"Dorian Finney-Smith, SF",DAL v. POR,"$4,700",0,"$5,000",0,$14,0,30.13,13,,2,112,Upgrade
"Zach Collins, C",POR @ DAL,"$4,700",2.6,"$4,300",2.9,$13,0.9,28.1,22,,2,-136,Upgrade
"Cameron Johnson, PG",PHO @ PHI,"$4,700",3.7,"$5,200",3.4,$15,1.2,21.35,3,,8,-335,Upgrade
"Delon Wright, PG",DAL v. POR,"$4,600",5.8,"$3,600",7.4,$10,2.7,21.47,18,,2,112,Upgrade
"Gary Trent Jr., SG",POR @ DAL,"$4,500",3.4,"$5,100",3.1,$12,1.3,21.35,10,,2,-136,Upgrade
"Shake Milton, SG",PHI v. PHO,"$4,500",1.9,"$5,100",1.7,$11,0.8,19.82,6,,8,270,Upgrade
"Shabazz Napier, PG",WAS v. MIL,"$4,400",5.3,"$4,400",5.4,$13,1.8,24.01,11,229.5,8,283,Upgrade
"Robin Lopez, C",MIL @ WAS,"$4,400",1.8,"$3,000",2.5,$10,0.8,14.31,27,229.5,8,-359,Upgrade
"Harrison Barnes, SF",SAC v. NO,"$4,400",5.2,"$4,700",5,$18,1.3,34.57,27,,1,-105,Upgrade
"De'Anthony Melton, PG",MEM v. BOS,"$4,400",5.1,"$3,900",5.8,$11,2.1,19.56,2,225,4,139,Upgrade
"Kyle Anderson, SF",MEM v. BOS,"$4,400",4.3,"$4,400",4.2,$10,1.9,19.66,3,225,4,139,Upgrade
"Austin Rivers, PG",HOU @ SA,"$4,400",3.5,"$4,100",3.8,$13,1.2,23.4,22,,2,-131,Upgrade
"Jerome Robinson, SG",WAS v. MIL,"$4,300",2.5,"$4,700",2.4,$12,0.9,15.07,19,229.5,8,283,Upgrade
"Sterling Brown, SG",MIL @ WAS,"$4,300",1.1,"$3,000",1.6,$10,0.5,14.35,23,229.5,8,-359,Upgrade
"Trey Burke, PG",DAL v. POR,"$4,200",2.6,"$4,000",2.8,$10,1.1,15.16,18,,2,112,Upgrade
"Hassan Whiteside, C",POR @ DAL,"$4,200",10.2,"$4,200",9.8,$18,2.4,30.37,22,,2,-136,Upgrade
"Alec Burks, SG",PHI v. PHO,"$4,200",5.8,"$4,300",5.8,$10,2.4,26.63,6,,8,270,Upgrade
"Drew Eubanks, C",SA v. HOU,"$4,200",1.3,"$3,800",1.4,$11,0.5,11.51,14,,2,110,Upgrade
