,Player,FP,Cost,Value,Min,Pts,Reb,Ast,Stl,Blk,TO
,Unnamed: 0_level_0,Fantasy,Fantasy,Fantasy,Stats,Stats,Stats,Stats,Stats,Stats,Stats
1,Eric Gordon SG/SFIND  @  HOU OUTWed 4:00pm,20,"$4,100",4.88,24.34,13.3,1.8,1.5,0.6,0.2,1.1
1,Danuel House Jr. SF/PFIND  @  HOUWed 4:00pm,19.7,"$5,600",3.52,26.59,9.9,3.8,1.3,1,0.3,0.9
1,Kelly Olynyk PF/CMIA  @  OKCWed 8:00pm,18.7,"$5,200",3.6,20.3,8.1,4.5,1.6,0.8,0.4,1.2
1,Nerlens Noel CMIA  @  OKCWed 8:00pm,18.6,"$3,800",4.89,18.4,7.2,4.8,1,0.9,1.3,1
1,JaMychal Green PF/CLAC  @  DENWed 9:00pm,18.4,"$4,100",4.49,21.66,7.2,6.1,0.9,0.4,0.6,0.9
1,Doug McDermott SF/PFIND  @  HOUWed 4:00pm,18.3,"$3,200",5.73,22.87,11.3,2.9,1.4,0.3,0,0.7
1,Jeff Green CIND  @  HOUWed 4:00pm,18,"$4,400",4.1,22.71,10.2,3.3,0.9,0.6,0.4,0.9
1,Darius Bazley PF/CMIA  @  OKCWed 8:00pm,18,"$4,800",3.75,22.72,8.3,4.8,0.9,0.5,0.7,1
1,Furkan Korkmaz SGTOR  @  PHIWed 6:30pm,17.8,"$3,200",5.55,23.86,10.6,2.5,1.2,0.7,0.1,0.8
1,Austin Rivers PG/SGIND  @  HOUWed 4:00pm,17.6,"$4,800",3.67,25.24,9.8,2.6,1.6,0.7,0.2,0.7
1,Ben McLemore SG/SFIND  @  HOUWed 4:00pm,16.7,"$5,000",3.34,25.74,10.4,2.3,0.8,0.4,0.2,0.8
1,Mason Plumlee CLAC  @  DENWed 9:00pm,16.7,"$4,200",3.97,15.26,6.2,4.7,2,0.5,0.6,1.2
1,Matisse Thybulle SG/SFTOR  @  PHIWed 6:30pm,16.4,"$3,600",4.55,24.43,6.3,2.3,1.6,1.6,0.8,1.1
1,T.J. McConnell PGIND  @  HOUWed 4:00pm,16.4,"$3,500",4.67,17.31,5.9,2.4,4.3,0.7,0.1,1.3
1,Andre Roberson SF/PFMIA  @  OKCWed 8:00pm,15.8,"$3,000",5.25,18.16,4.4,4.2,0.8,1.1,1.5,0.6
